,URL,Title,Author,Avg_rating,Num_reviews,Num_ratings,Pages,Publish_year,Series,Genres,Awards,Places
903,https://www.goodreads.com/book/show/18122.The_Amber_Spyglass,The Amber Spyglass,Philip Pullman,4.08,11049,316981,467,2000,His Dark Materials #3,"['Fantasy', 'Young Adult', 'Fiction']","['Booker Prize Nominee for Longlist (2001)', 'Locus Award Nominee for Best Fantasy Novel (2001)', ""Whitbread Award for Children's Book of the Year and Book of the Year (2001)"", ""British Book Award for Children's Book of the Year (2001)"", ""Audie Award for Children's Titles Ages 8-12 (2002)\n...more\nWest Australian Young Readers' Book Award (WAYRBA) for Older Readers (2002)\n...less""]",
904,https://www.goodreads.com/book/show/703292.The_Witch_of_Blackbird_Pond,The Witch of Blackbird Pond,Elizabeth George Speare,3.98,6283,140445,256,1958,,"['Historical', '3,195 users', '1,893 users']","['Newbery Medal (1959)', ""Dorothy Canfield Fisher Children's Book Award Nominee (1960)""]",United States of America  Connecticut  (United States)
905,https://www.goodreads.com/book/show/1655668.Go_Go_Girls_of_the_Apocalypse,Go-Go Girls of the Apocalypse,Victor Gischler,3.75,302,2023,324,2008,,"['Apocalyptic', '51 users', '49 users']",,United States of America
906,https://www.goodreads.com/book/show/18140842-in-the-end,In the End,Demitria Lunetta,3.92,622,4631,432,2014,In the After #2,"['Young Adult', 'Science Fiction', '114 users']",,
907,https://www.goodreads.com/book/show/230853.Veniss_Underground,Veniss Underground,Jeff VanderMeer,3.78,208,2353,278,2003,,"['Fantasy', 'Science Fiction', 'Fiction']","['Bram Stoker Award Nominee for Best First Novel (2003)', 'World Fantasy Award Nominee for Best Novel (2004)']",
908,https://www.goodreads.com/book/show/189783.The_Elfstones_of_Shannara,The Elfstones of Shannara,Terry Brooks,3.95,1684,70004,23,1982,The Original Shannara Trilogy #2,"['Fantasy', 'Fiction', 'Fantasy']",,
909,https://www.goodreads.com/book/show/119324.The_Subtle_Knife,The Subtle Knife,Philip Pullman,4.13,10700,387682,326,1997,His Dark Materials #2,"['Fantasy', 'Young Adult', 'Fiction']","[""Audie Award for Children's Titles Ages 8-12 (2001)"", 'North East Teenage Book Award Nominee (1999)']",
910,https://www.goodreads.com/book/show/18584855-heartless,Heartless,Marissa Meyer,4.04,18135,107808,453,2016,,"['Fantasy', 'Young Adult', 'Retellings']","['Rhode Island Teen Book Award Nominee (2018)', 'Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2016)', 'Missouri Gateway Readers Award Nominee (2018)']",
911,https://www.goodreads.com/book/show/216213.The_Rising,The Rising,Brian Keene,3.79,678,9369,321,2003,The Rising #1,"['Horror', 'Horror', '330 users']",['Bram Stoker Award for Best First Novel (2003)'],
912,https://www.goodreads.com/book/show/16068780-the-jewel,The Jewel,Amy Ewing,3.87,4577,39067,358,2014,The Lone City #1,"['Young Adult', 'Fantasy', 'Science Fiction']",,
913,https://www.goodreads.com/book/show/216361.The_World_Jones_Made,The World Jones Made,Philip K. Dick,3.63,206,2964,199,1956,,"['Science Fiction', 'Fiction', 'Novels']",,
914,https://www.goodreads.com/book/show/11320138-shadows,Shadows,Ilsa J. Bick,3.78,1126,10220,518,2012,Ashes Trilogy #2,"['Young Adult', 'Horror', '220 users']",,
915,https://www.goodreads.com/book/show/22698568-the-invasion-of-the-tearling,The Invasion of the Tearling,Erika Johansen,4.11,4975,47522,515,2015,The Queen of the Tearling #2,"['Fantasy', 'Young Adult', 'Fiction']",['Goodreads Choice Award Nominee for Fantasy (2015)'],
916,https://www.goodreads.com/book/show/15812814-crossed,Crossed,Ally Condie,3.53,15232,221830,367,2011,Matched #2,"['Young Adult', 'Science Fiction', '3,565 users']",,
