,Unnamed: 0,url,title,author,avg_rating,num_reviews,num_ratings,pages,publish_year,series,genres,awards,places,book_score,mean_norm,min_max_norm
484,484,https://www.goodreads.com/book/show/13138635-these-broken-stars,These Broken Stars,Amie Kaufman,3.9,8537,65929,389.0,2013,True,"['Young Adult', 'Science Fiction', 'Romance']","['Aurealis Award for Best Young Adult Novel (2013)', 'The Inky Awards Nominee for Gold Inky (2014)', 'Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2014)', 'The Inky Awards Shortlist for Gold Inky (2014)']",,537,5.439934121621621,6.655405405405405
485,485,https://www.goodreads.com/book/show/6018232-survivors,Survivors,Terry Nation,3.7,89,660,256.0,1975,True,"['Science Fiction', 'Apocalyptic', '18 users']",,,537,5.135880067567568,6.047297297297297
486,486,https://www.goodreads.com/book/show/8901953-outside-in,Outside In,Maria V. Snyder,3.83,990,13717,328.0,2011,True,"['Young Adult', 'Science Fiction', '330 users']",,,536,5.333515202702703,6.4425675675675675
487,487,https://www.goodreads.com/book/show/10374.Hard_Boiled_Wonderland_and_the_End_of_the_World,Hard-Boiled Wonderland and the End of the World,Haruki Murakami,4.14,6472,109966,400.0,1985,False,"['Fiction', 'Fantasy', 'Cultural']","['Tanizaki Prize 谷崎潤一郎賞 (1985)', 'Tähtifantasia Award Nominee (2016)', 'Seiun Award 星雲賞 Nominee for Best Japanese Novel (1986)']",Japan,531,5.804798986486486,7.385135135135135
488,488,https://www.goodreads.com/book/show/34811896-pandemic,Pandemic,A.G. Riddle,3.97,1747,31406,722.0,2017,True,"['Science Fiction', 'Fiction', 'Thriller']",,,531,5.5463530405405415,6.868243243243244
489,489,https://www.goodreads.com/book/show/4889214-far-north,Far North,Marcel Theroux,3.79,505,4077,288.0,2009,False,"['Fiction', 'Apocalyptic', '107 users']","['Arthur C. Clarke Award Nominee (2010)', 'National Book Award Finalist for Fiction (2009)']",,528,5.272704391891892,6.320945945945946
490,490,https://www.goodreads.com/book/show/850084.Ecotopia_Emerging,Ecotopia Emerging,Ernest Callenbach,3.76,32,367,326.0,1981,False,"['Fiction', 'Science Fiction', 'Environment']",,,526,5.2270962837837835,6.229729729729729
491,491,https://www.goodreads.com/book/show/355.Job,Job: A Comedy of Justice,Robert A. Heinlein,3.78,517,16970,439.0,1984,False,"['Science Fiction', 'Fiction', 'Fantasy']","['Hugo Award Nominee for Best Novel (1985)', 'Nebula Award Nominee for Best Novel (1985)', 'Locus Award for Best Fantasy Novel (1985)']",,525,5.257501689189189,6.29054054054054
492,492,https://www.goodreads.com/book/show/20758105-monsters-of-men,Monsters of Men,Patrick Ness,4.22,6840,73466,643.0,2010,True,"['Young Adult', 'Science Fiction', 'Science Fiction']","['Arthur C. Clarke Award Nominee (2011)', 'Teen Buckeye Book Award Nominee (2012)', 'Goodreads Choice Award Nominee for Young Adult Fantasy (2010)', 'Carnegie Medal (2011)']",,522,5.926420608108108,7.628378378378377
493,493,https://www.goodreads.com/book/show/29514.The_Lost_Continent,The Lost Continent,Edgar Rice Burroughs,3.67,115,1850,108.0,1916,False,"['Science Fiction', 'Fantasy', 'Fiction']",,"Europe, 2137",522,5.090271959459459,5.956081081081081
494,494,https://www.goodreads.com/book/show/14811943-rise,Rise,Anna Carey,3.74,1184,12140,310.0,2013,True,"['Science Fiction', '287 users', '236 users']",,,520,5.196690878378379,6.168918918918919
