,url,title,author,avg_rating,num_reviews,num_ratings,pages,publish_year,series,genres,awards,places,book_score
877,https://www.goodreads.com/book/show/20819685-the-bone-clocks,The Bone Clocks,David Mitchell,3.83,10316,88740,624.0,2014.0,,"['Fiction', 'Fantasy', 'Science Fiction']","['Booker Prize Nominee for Longlist (2014)', 'World Fantasy Award for Best Novel (2015)', 'Tähtifantasia Award (2018)', 'Prix européen Utopiales des pays de la Loire (2018)', 'Tähtivaeltaja Award Nominee (2018)\n...more\nAndrew Carnegie Medal Nominee for Fiction (2015)', 'Specsavers National Book Award Nominee for UK Author of the Year; Audible.co.uk Audiobook of the Year (2014)', 'Goodreads Choice Award Nominee for Fiction (2014)', 'Europese Literatuurprijs Nominee (2015)', 'International Dublin Literary Award Nominee (2016)\n...less']","Gravesend , 1984  (United Kingdom)   Cambridge, England, 1991       London, England, 1991  (United Kingdom)   …more Brighton, 2004           Hay-on-Wye, Breckonshire, Wales, 2015           Cartagena, 2016  (Colombia)   Rottnest Island, 2017  (Australia)   Shanghai, 2018  (China)   Þingvellir, 2019  (Iceland)   Annandale-on-Hudson, 2020  (United States)   New York City, New York, 2025  (United States)   Sheep's Head, County Cork, 2043  (Ireland)   …less",249
878,https://www.goodreads.com/book/show/32078.Amnesia_Moon,Amnesia Moon,Jonathan Lethem,3.5,322,3477,256.0,1995.0,,"['Fiction', 'Science Fiction', 'Apocalyptic']",,,249
879,https://www.goodreads.com/book/show/16059426-love-in-the-time-of-global-warming,Love in the Time of Global Warming,Francesca Lia Block,3.38,721,3375,240.0,2013.0,Love in the Time of Global Warming #1,"['Young Adult', 'Fantasy', 'LGBT']",,,247
880,https://www.goodreads.com/book/show/10794233-star-chamber-brotherhood,Star Chamber Brotherhood,Preston Fleming,4.11,27,199,,2010.0,The Kamas Trilogy #2,"['Science Fiction', 'Fiction', 'Mystery']",,,247
881,https://www.goodreads.com/book/show/16098473-project-ele,Project ELE,Rebecca Gober,3.85,273,2905,334.0,2012.0,Project ELE #1,"['Young Adult', 'Science Fiction', '49 users']",,,243
882,https://www.goodreads.com/book/show/13641208-tenth-of-december,Tenth of December,George Saunders,3.96,7326,64807,251.0,2013.0,,"['Short Stories', 'Fiction', 'Contemporary']","['The Story Prize (2013)', 'National Book Award Finalist for Fiction (2013)', 'Goodreads Choice Award Nominee for Fiction (2013)', 'Rathbones Folio Prize (2014)']",,243
883,https://www.goodreads.com/book/show/8161632-shadowspell,Shadowspell,Jenna Black,3.99,613,12618,295.0,2011.0,Faeriewalker #2,"['Fantasy', 'Young Adult', 'Fantasy']",,Avalon,243
884,https://www.goodreads.com/book/show/9766649-the-great-collapse,The Great Collapse,Jeff W. Horton,3.97,19,117,399.0,2010.0,Survivors of the Pulse #1,"['Science Fiction', 'Apocalyptic', '6 users']",,,242
885,https://www.goodreads.com/book/show/285563.Native_Tongue,Native Tongue,Suzette Haden Elgin,4.0,375,3222,327.0,1984.0,Native Tongue #1,"['Science Fiction', 'Fiction', 'Feminism']",,,241
886,https://www.goodreads.com/book/show/285825.Divided_Kingdom,Divided Kingdom,Rupert Thomson,3.33,113,1636,352.0,2005.0,,"['Fiction', 'Science Fiction', '32 users']",,,241
887,https://www.goodreads.com/book/show/91109.The_Long_Tomorrow,The Long Tomorrow,Leigh Brackett,3.66,242,2161,223.0,1955.0,,"['Science Fiction', 'Fiction', 'Apocalyptic']",['Hugo Award Nominee for Best Novel (1956)'],,240
888,https://www.goodreads.com/book/show/7654418-amsterdam-2012,Amsterdam 2012,Ruth Francisco,3.74,28,147,,2010.0,Amsterdam #1,"['Fiction', 'Mystery', 'Thriller']",,,240
